en	kw
You live in Falmouth. Where does your father live?	Hwi a wra triga yn Aberfala. Ple hwra agas tas triga?
I phoned the restaurant a week ago.	My a bellgewsis orth an bosti nans yw seythen.
He became well known for modelling caricatures of famous people out of chicken bones he collected from a local potted meat factory, making puppets and decorative wall masks!	Ev eth ha bos aswonys yn ta awos modelya delowigow hwarthus a dus a vri dhyworth eskern yer a guntelas ev dhyworth gweythva gig pottys, ow kul popetys ha visours fos afinus!
All site names are being provided by the Akademi Kernewek.	Oll an henwyn tyller re beu profyes gans Akademi Kernewek.
The Cornish Parliament would ensure open and accountable appointments to such public bodies and it would hold them to account for their actions, retaining the power to legislate in respect of their activities.	Senedh Kernow a surhasa apoyntyansow ygor hag akontyadow dhe gorfow poblek a'n par na ha'ga synsi dhe akont rag aga gwriansow, yn-dann witha an gallos dhe reythya ow tochya aga aktivitys.
My garden is beautiful. It is the most beautiful garden in Helston.	Teg yw ow owarth. An tekka lowarth yn Hellys yw.
Mining	Balweyth
Fables	Henhwedhlow
Are you postmen?	Owgh hwi oll lytherwesyon?
We’re aiming to make it easy for everyone to take part in Census 2021.	Agan amkan yw y wul es rag pubonan dhe gemeres rann yn Census 2021.
“Cornwall doesn’t allow geographical barriers to get in the way of entrepreneurial spirit and radical thinking.	"""Ny wra Kernow gasa lettow doroniethel dhe lesta spyrys aventurus ha prederow gwreydhyel."
Fictional Cornish people	Kernowyon fugiethel
I am interested in the position.	An soodh yw dhe les dhymm.
lead me from despair to hope, from fear to trust;	gwra ow hembronk dhyworth desper dhe wovenek, dhyworth own dhe drest;
We must give the landlord one month's notice.	Res yw dhyn ri an perghen gwarnyans a unn mis.
Therapy	Sawment
Climate change is upon us and as traditional resources become harder to obtain and their environmental impact more difficult to justify, it is now clear that change is coming in the way we go about our lives and in the way organisations such as Cornwall Council will operate.	Yma chanj hin warnan ha dell dheu ha bos fentynnyow hengovek kalessa dh’aga havos ha’ga effeyth kerghynedhel kalessa dh’y justifia, kler yw lemmyn bos chanj ow tos y’n fordh may fewyn hag y’n fordh mayth oberons korfow kepar ha Konsel Kernow.
Celebrating Nextdoor Nature 	Ow Solempnya Natur Gentrevek
You're very handsome. Are you more handsome than me?	Pur deg os ta. Os ta tekka agesov?
No! I don't eat mice.	Na wrav! Ny wrav vy dybri logos.
Account update failed	Y fyllis an akont dhe nowedhi
They grew up in a small village.	I a dheuth dhe oos yn gwig vyghan.
You study Swedish. You must study Swedish.	Ty a wra studhya Swedek. Res yw dhis studhya Swedek.
You must select at least one night.	Res yw dhis dewis unn nos dhe’n lyha.
You need to renew a prescription.	Yma edhomm dhis nowydhhe gorhemmyn.
come with me!	deus genev
A few years ago, the unitary authority had been debating what Cornwall’s housing target should be for the period 2010–2030, but central government imposed an inspection regime that has forced Cornwall to adopt a much higher target than that deemed appropriate by the majority of local residents.	Nans yw nebes bledhynnyow, an awtorita unses re bia ow tadhla an pyth a dal bos an gosten rag anedhans Kernow ynter 2010-2030, mes an governans kresel a herdhyas menystrans hwithrans re gonstrinas Kernow dhe dhegemeres kosten marthys ughella ages an huni prederys dhe vos gwiw gans an brassa rann a drigoryon leel.
Make Love not War	Gwra Kerensa na Vresel
Serve	Servya
I have two cats.	Yma diw gath dhymm.
Objective 4	Amkan 4
Our Parks 	Agan Parkow
Can you paint that wall?	A yllowgh hwi payntya an fos na?
Did we need to help?	O res dhyn gweres?
What would you like to do?	Pandr'a vynses ta gul?
Did I walk far?	A wrug vy kerdhes pell?
I picked up	My a guntellas
Would you like to call back later?	A vynnsowgh daspellgewsel diwettha?
1ST FLOOR	1A LEUR
We’ve been talking to people attending these events to find out what they think about the various groups who take part.	Ni re beu ow kewsel dhe dus re dheuth dhe’n hwarvosow ma rag dismygi aga breus a’n bagasow divers a gemmer rann ynna.
Weather	Kewer
Address Management	Dyghtyans Trigvaow
We’re not starting from scratch, we already have pioneers in our communities and organisations across Cornwall, demonstrating how we can change the ways we live, work and play.	Nyns eson ni ow talleth orth an dalleth: yma genen seulabrys ragresoryon y'gan kemenethow ha kowethyansow dres Kernow, ow tiskwedhes fatel yllyn chanjya an fordhow may hwren ni bewa, oberi ha gwari.
surprised	sowdhenys
Deeds, leases, rental books, maps and plans can all help to build up a picture of life in Cornwall in the past, and can be an invaluable resource for family and property history.	Chartours, gobrenow, lyvrow rent, mappow ha desinyow oll a yll ri gweres rag lymna bewnans yn Kernow y’n termyn tremenys, hag y hyllons i bos posek rag istori teyluyow ha kerthow.
What do you eat for lunch?	Pandr'a wrewgh hwi dybri rag li?
People Commissioning	Desedha Pobel
I have been attacked.	My re beu omsettys.
The priorities are interconnected and overlapping.	An ragwiryow yw kesjunyes ha gorgudhys.
play football	gwari pel droos
Yes. You wanted to read that.	Esa. Yth esa hwans dhis a redya henna.
Cornish by adoption	Kernewek der asvabans
Were they sick?	Ens i klav?
Do they dance?	A wrons i donsya?
Criteria for inclusion	Breusverkyow rag komprehendyans
Holyer an Gof 2017 Awards winners announced	Gwaynyoryon Pewasow Holyer an Gof dyllys
You've got a temperature.	Yma tempredh dhis.
The CC attendee will not represent UKG or UKG policy.	Ny wra kannas CC representya UKG po polici UKG.
Corn flour	Bleus ys
Moviéndote works with and for collectives in risk of social exclusion and promotes awareness raising, research, training, volunteering and, in general, active citizenship initiatives that bring together intercultural and intergenerational collectives.	Moviéndote a ober gans hag a-barth kuntellesow a dus yn peryl a vos kes yn-mes a'n gemeneth, keffrys hag avonsya warneth, hwithrans, trenyans, ober bodhek ha, dre vras, gwriansow burjysi byw hag a dhre war-barth kuntellesow ynterwonisogethek ha ynterhenedhek.
Yes. You are there in the corner.	Esos. Yth esos ta ena y'n kornel.
You took this prescription.	Hwi a wrug tanna an gorhemmyn ma.
in mood tides we wait, with eyes that gaze	yn mortid y hwortyn, dewlagas ow lagatta
Yes! You liked ice-cream.	O! Da o genes dehen rew.
Our house is similar to your house but our house is bigger of course.	Agan chi yw haval orth dha ji mes agan chi yw brassa heb mar.
Government of Jersey	Governans a Jersenys
WIll I be expected to work weekend?	A vydh edhom oberi dres an pennseythennyow?
Please register here	Kovskrifewgh omma mar pleg
Cannot send an email at this time	Na yllir danvon ebost y’n eur ma
They drink milk.	I a yv leth.
3. Asking for directions	3. Govyn orth nebonan rag tuyow
You would like to become designers. How about me?	Da via genowgh dos ha bos desinoryon. Ha my?
Our architects designed Kresen Kernow's interiors to complement its industrial exterior, but with a modern twist.	Agan pennseri a dhesinyas pervedhow Kresen Kernow dhe vos keskodhevek dhe'n tu a-ves diwysyansel, mes gans tremmyn arnowydh.
A weapon to vote	Arv dhe votya
My sister is expecting a baby next month.	Yma ow hwor owth omdhon baban hag a vydh dinythys nessa mis.
Another instance of deodand within the court book is of a tenant being trampled by a horse and the horse becoming the forfeit of deodand.	Gweyth aral a dheodand y’n lyver lys yw a neb delghyas trettyes gans margh, ha’n margh dhe vos ha bos spal deodand.
Rabbits and Pebbles	Konines ha Bili
Slow down and drive carefully on rural roads.	Lenthewgh ha lewyewgh gans rach war fordhow powek.
Soldiers of the Castle	Soudoryon an Kastel
Colouring-in	Liwa
Gogmagog fights Corineus. 	Yth omladh Gogmagog orth Corineus
Spring 2018 sees a brilliant line-up of talent at Hall For Cornwall.	Gwenton 2018 a wel rew bryntin a roas orth An Hel rag Kernow.
Your mothers say that you're too slow.	Agas mamm a lever agas bos re lent.
This superb photograph is one of a series showing a horse jumping competition at Tregear Farm, Nanstallan in 1943.	An skeusen vryntin ma yw onan a gevres a dhiskwa kesstrif lamma margh war Vargen Tir Tregear, Nansalen yn 1943.
Have I eaten breakfast?	A wrug vy dybri hansel?
Whereas it has pleased Almighty God to call to His Mercy our late Sovereign Lady Queen Elizabeth the Second of Blessed and Glorious Memory, by whose Decease the Crown of the United Kingdom of Great Britain and Northern Ireland is solely and rightfully come to The Prince Charles Philip Arthur George: We, therefore, the Lords Spiritual and Temporal of this Realm and Members of the House of Commons, together with other members of Her late Majesty’s Privy Council and representatives of the Realms and Territories, Aldermen and Citizens of London, and others, do now hereby with one voice and Consent of Tongue and Heart publish and proclaim that The Prince Charles Philip Arthur George is now, by the Death of our late Sovereign of Happy Memory, become our only lawful and rightful Liege Lord Charles the Third, by the Grace of God of the United Kingdom of Great Britain and Northern Ireland and of His other Realms and Territories, King, Head of the Commonwealth, Defender of the Faith, to whom we do acknowledge all Faith and Obedience with humble Affection; beseeching God by whom Kings and Queens do reign to bless His Majesty with long and happy Years to reign over us. 	Par dell blegyas dhe Dhuw Ollgallosek gelwel dh’y Dregeredh agan Sovran tremenys Arlodhes Myghternes Elizabeth an Nessa a Govva Venygys ha Gloryus, dre hy Thremenvan Kurun an Ruvaneth Unys a Vreten Veur hag Iwerdhon Gledh yw devedhys yn unnik hag yn komposter dhe’n Pennsevik Charles Philip Arthur George: Ni, ytho, Arlydhi Spyrysel ha Leg an Wlaskor ma hag Eseli Chi an Gemynyon, keffrys hag eseli erel a Gonsel Priva Hy Meuredh tremenys ha kanasow an Gwlaskordhow ha Tiredhow, Henavogyon ha Burjysi Loundres, hag erel, a dhyllo ha gwarnya gans unn lev ha Bodh a Daves ha Kolon bos lemmyn An Pennsevik Charles Philip Arthur George, dre Vernans agan Sovran a Govva Lowen, devedhys agan Arlodh Lij lafyl ha gwir unnik Charles an Tressa, dre Ras Duw, an Ruvaneth Unys a Vreten Veur hag Iwerdhon Gledh hag a’y Wlaskordhow ha Tiredhow erel, Myghtern, Chif Les an Kemmyn, Defendyer an Kryjyans, may aswonyn Lenduri ha Gostytter dhodho gans Hegaredh uvel; ow pysi Duw dredho may reyn Myghternedh ha Myghternesow may fennykko Y Veuredh gans Bledhynnyow hir ha lowen dhe reynya warnan. 
You said that there are different portion sizes.	Hwi a leveris bos darnow a vrasterow dihaval.
This one, from the South Australian…Emigration Society, tried to use migration to improve the dire situation in Cornwall.	An huni ma, dhyworth Kowethas Omdhivroans Ostrali Soth, a assayas gul devnydh a dhivroans rag gwellhe an studh euthyk yn Kernow.
Weaving ore	Gwia skorr
Seeing the wood for the trees	Gweles an koos rag an gwydh
Water my blood,	Dowr ow goos,
Yes. You can visit tomorrow.	Gyllydh. Ty a yll vysytya a-vorow.
Discover stories from the manuscripts	Diskudhewgh hwedhlow a'n dornskrifow
Inclusion Exchange	Keschanj Dalghuster
Hello Boardmasters!	Hou Astelvestrysi!
These include images of bridges, windows, bunkers and crosses, as well as an extensive collection of aerial photographs.	Y'ga mysk yma imajys a bonsyow, fenestri, dorjiow ha krowsow, keffrys ha kuntel bras a skeusennow dhyworth an ayr.
Produced by	Askorrys gans
Do you have a girlfriend?	Eus kares dhis?
Your gardens are big but my garden is bigger.	Bras yw agas lowarth mes brassa yw dha lowarth.
Small White Cottage	Krowji Gwynn (Byghan)
be confident your dog will return on command	bos sur agas ki dhe dhehweles gans arghadow
The viaduct can be seen clearly from here.	Y hyllir gweles yn kler alemma an Bonsfordh.
Where were you on Monday?	Ple'th eses ta dy'Lun?
Identity and Democracy Party	An Parti a Honanieth ha Gwerinieth
Were they in the city?	Esens i y'n cita?
Listed buildings are recorded in the Historic Environment Record.	Drehevyansow kovskrifys yw kovadhys y’n Kovadh Kerghynnedh Istorek.
Yes. I wanted to go.	Esa. Yth esa hwans dhymm mos.
Do they teach Russian?	A wrons i dyski Russek?
I wear glasses.	My a wisk dewweder.
After a near 40 year hiatus, we were delighted when he accepted an invitation to conduct Elgar’s The Kingdom in 2023, and then returned last year to lead a very special performance (in our view) of Brahms's German Requiem. 	Wosa powes a ogas ha 40 bledhen, fest lowen en pan dhegemeras ev galow dhe idya An Wlaskor gans Elgar yn 2023, hag ena dehweles warlena dhe ledya performyans pur arbennik (y’gan breus ni) a Rekwiem Almaynek Brahms.
Their pasty is big.	Aga fasti yw bras.
What time do they finish in the afternoon?	P'eur hwrons i gorfenna androweyth?
Would you go for dinner with me?	A vynn'ta kona genev?
In another life I hope I find you sooner so I can love you longer	Yn bewnans aral y hwaytyav ma’th kyffiv a-varra may hylliv dha gara pella
This Privacy Policy does not apply to the third-party online/mobile store from which you install the Application or make payments, including any in-game virtual items, which may also collect and use data about you.	Ny weyth an Polici Privetter ma dhe werthji warlinen/klapkodh dressa parti may ynstallyewgh an App po gul tylansow dhyworto, y'ga mysk taklow yn-wari gowir neb a guntellowgh ha devnydha manylyon a-dro dhywgh.
No internet connection	Nyns eus kevren gesrosweyth
Tywardreath Cemetery	Ynkleudhva Ti War Dreth
I prefer to travel by train.	Gwell yw genev viajya yn tren.
Dining Room	Stevel-Dhybri
Did I buy food for us?	A wrug vy prena boos ragon?
Welcome to the G7 policing and securing website by Devon & Cornwall Police	Dynnargh dhe’n wiasva greslu ha diogeledh gans Kreslu Dewnens ha Kernow
Yes. We can come too.	Gyllyn. Ni a yll dos ynwedh.
Electronic Transactions: 	Negysyow Elektronek: 
Share	Kevrenna
We are a part of Cornwall’s environment and need our natural systems to provide for us.	Rann a gerghynnedh Kernow on, hag yma edhom dhyn a’gan systemow naturek rag provia taklow dhyn.
Based on 2011 prices the cost of a fatality on average was £1,686,532 a serious casualty was £189,519 and a slight casualty was £14,611.	Selys war brisyow 2011, kost a vernans o, yn kresek, £1,686,532, goliesik sad o £189,519 ha goliesik le o £14,611.
Our coat is new.	Agan kota yw nowydh.
This growth and development, of course, needs to be balanced with the need to protect what is special about the Cornish environment now and for our future generations.	Yma edhom dhe’n tevyans ha displegyans ma, heb mar, bos mantollys gans an edhom a witha an pyth yw arbennik a-dro dhe’n kerghynnedh Kernewek y’n jydh hedhyw ha rag agan henedhow y’n termyn a dheu.
This is very fortunate!	Henn yw pur feusik!
Leader of the Labour Group	Ledyer Bagas Lavur
Yes. We will buy it in Truro.	Gwren. Ni a wra y brena yn Truru.
Yes. They can visit tomorrow.	Gyllons. I a yll vysytya a-vorow.
Smart Card	Karten Gonnyk
No! They weren’t talking to the cat.	Nag esens! Nyns esens i ow kewsel orth an gath.
Beyond this building to the left is the St Austell Leisure Centre, with pool and sports facilities.	Dres an drehevyans ma a-barth kledh yma Kresen Dhiskwithans S. Austel, ha dhedhi poll ha komodytys sport.
Always check local signs as there are situations when you must keep your dog on a lead for all or part of the year.	Pupprys checkyewgh arwodhyow leel drefen bos desedhansow mayth yw res dhywgh gwitha agas ki war lesh dres oll an vledhen po dres rann anedhi.
The old dough mixer, from a local bakery, was used to mix powdered clays with water until the mixture reached a wet clay stage – at which point it was put through the pug mill (as above).	An hen gemyskell doos, dhyworth popti leel, a vedha devnydhys dhe gemyska priow polter gans dowr erna hedhas an kemmysk studh a bri glyb - poynt may fedha gorrys dres an velin bri (avel a-wartha).
Nation	Kenedhel
Yes! I will wash it.	Gwrav! My a wra y wolghi.
How do you know about history?	Fatel wre'ta godhvos a-dro dhe istori?
I disagree.	Nyns ov vy akordys.
The coming of the mainline railway really opened Cornwall up to trade and tourism (AD311/1).	Devedhyans an hyns horn pennlinen a ygoras Kernow dhe genwerth ha tornyaseth.
We agree.	Akordys on ni.
It is indeed. How do you know Lowena, our host?	Yw, yn hwir. Fatel aswonydh Lowena, agan ost?
History of the Museum	Istori an Gwithti
Photographer present	Ro Skeusenner / Skeusenner omma
We knew that Cornish people owned plantations and enslaved people in the Caribbean.	Ni a wodhya Kernowyon dhe berghenna plansoriethow ha ketthe tus y’n Karibow.
To establish an innovation fund to encourage innovative or promotional use of Cornish in relation to entertainment and the creative arts – in partnership with other key bodies and agencies	Fondya arghas nowydhyans rag kenertha devnydh nowydhyansek po avonsyansek a Gernewek yn didhan ha'n artys awenek - yn keskowethyans gans korfow dhe les erel ha maynoriethow.
Rope Walk	Kerdhva Lovan
Are they drinking green tea?	Esons i owth eva te glas?
You need to take a blood sample.	Yma edhom dhywgh kemeres sampel goos.
Are they paying by card?	A wrons i pe gans karten?
Do we want to walk?	A vynnyn ni kerdhes?
Yes. We were working in the same room.	Esen. Yth esen ni owth oberi y'n keth stevel.
Business Support, Integrated Systems & Performance 	Skoodhyans Negys, Systemow Ewngemyskys ha Gwrythyans
We will prescribe something for you.	Ni a wra gorhemmyn neppyth ragowgh.
Cornwall is famed for its glorious gardens and sub-tropical climate.	Yth aswonir Kernow rag hy lowarthyow gloryus ha hin is-tropek.
Do we work in an office?	A wren ni oberi yn sodhva?
Industrial Camborne 	Kammbronn Diwysyansel
You didn't dance.	Ny wrussowgh hwi donsya.
At the moment, this is limited to plant species.	Y'n eur ma, hemm yw strothys dhe eghennow a losow.
Its many facets, good and bad, can be traced through the collections held at Kresen Kernow.	Y lies enebik, da ha drog, a yll bos tresys der an kuntellow gwithys yn Kresen Kernow.
A farmer can shoot a dog that is attacking or chasing livestock.	Tiek a yll tenna ki hag usi po ow settya orth po ow helghya bestes.
former countries	broyow kyns
How can they get to the railway station?	Fatel yllons i mos dhe'n gorsav tren?
(key) Access by appointment	(key) Hedhas der apoyntyans
At the start of the project we located 1159 potential manors.	Orth dalleth an ragdres y kevsyn 1159 tyller a alsa bos maner.
NHS hospitals in West Devon).	Klavjiow GYK yn Dewnans West).
Sexual violence and abuse can happen to anyone in our community.	Nebonan y'gan kemeneth a yll godhevel freudh ha tebeldhyghtyans reydhel.
Can you make lunch today?	A yllydh ta pareusi li hedhyw?
What damaged these documents?	Pyth a wrug shyndya an skrifennow ma?
Gender	Reydh
My fate protects me	Ow thenkys a with warnav.
steam train	tren ethen
Mike Thomas	Mike Thomas
Please note that the facilities at the top of Snowdon are NOT open all year round, and the small cafe at Halfway House is open during the season and sometimes at weekends out of season.	Notyewgh mar pleg NAG yw ygor an bosti orth penn Yr Wyddfa dres oll an vledhen, ha bos ygor an bosti byghan dhe Halfway House dres an seson ha treweythyow dhe bennseythennyow 'mes a'n seson.
As we emerge from the worst of the coronavirus pandemic, the impact on our lives and livelihoods continues to be felt and is likely to continue in the coming years.	Ha ni ow tos mes a'n gwettha rann a'n pandemik Koronavayrus, an effeyth war agan bewnansow ha pygansow a bes dhe vos klewys ha gwirhaval yw dhe besya y'n bledhynnyow ow tos.
Full Report	Derivas Leun
moral	dyskas
You were educated in Bodmin.	Hwi a veu adhyskys yn Bosvena.
The Extra Care Partnership	An Keskowethyans Moy Gwith
Individual organisation 1-2-1 training and advice sessions, either at your venue or at Kresen Kernow, or by email or phone.	Sedhogow trenya ha kussulya 1-dhe-1 rag kowethyansow unnik, po yn agas tre po yn Kresen Kernow, po der ebost po pellgows.
Kelly’s helped spread awareness of the Cornish language with the first ever Cornish TV ad, and today it continues to raise Cornwall’s profile, advocating our unique culture to the rest of the nation.	Kelly's a weresas lesa aswonvos a'n yeth Kernewek gans an kynsa argemmyn Kernewek bythkweth orth an bellwolok, ha hedhyw pesya a wra dhe dhrehevel profil Kernow, ow komendya agan gonisogeth unnik dhe remenant an wlas.
Which children will benefit?	Dhe by fleghes a vydh les?
I ask the powers of land and sea, to right the wrongs he hath done to me.	Y pysav gallosow tir ha mor, mayth ewnnons an kammow ev re'm gwrug.
PATRICK TRUST ROOM	STEVEL PATRICK TRUST
Yes. You can paint that wall.	Gyllydh. Ty a yll payntya an fos na.
Catholic parish registers and records are kept in individual churches.	Kovlyvrow ha kovadhow pluwyow Katholek yw gwithys y’ga eglosyow unnik.
If you think a farm animal is in distress, try to alert the farmer.	Mar krysowgh bos eneval amethek yn ahwer, assayewgh gwarnya an tiek.
You are a lot of fun.	Pur dhidhanus owgh hwi.
It is crucial to ensure that both economic and housing growth go hand in hand with an improvement in environmental quality, arrest biodiversity decline and move to become the first Carbon Neutral region.	Troboyntel yw surhe tevyans, hag erbysiethek hag anedhyans, dhe vos dorn yn dorn gans gwellheans yn kwalita kerghynedhel, bos difyk bewdhiverseth hedhys, ha ni dhe vos ha bos an kynsa ranndir yw Karbon Diduel.
What do you study at university?	Pandr'a wrewgh hwi studhya y’n pennskol?
Kresen Kernow holds a wide variety of documents connected to this system, including account books, apprenticeship indentures, settlement certificates, removal orders and bastardy bonds.	Kresen Kernow a’s teves lies eghen a skrifen yw junys dhe’n system ma, y'ga mysk lyvrow-akontow, kevambosow kynserneth, testskrifow ervirans, gorhemynnow dileans ha gorambosow bastardieth.
I can only hope that these recommendations are adopted sooner rather than later.	Ny allav marnas gwaytyas an komendyansow ma dhe vos omgemerys a-varr a-der diwettha.
We use administrative, technical, and physical security measures to help protect your personal information.	Ni a dhevnydh musuryow salowder menestrek, teknogel ha fisegel rag gweres dhe witha agas kedhlow personel.
Your time starts now.	Agas termyn a dhalleth lemmyn.
You like the flowers in my garden.	Da yw genes an bleujennow yn ow lowarth.
Read	Redya
with god on your side	gans Duw rybos
No! They don’t live in Cornwall.	Na wrons! Ny wrons i triga yn Kernow.
You're intermediate level.	Nivel kres owgh hwi.
The flyer suggests a plan to “remove eligible industrious persons from an overburdened population to a colony of lovely scenery, of genial climate, of productive soil; where labour will meet with its due reward”.	An folennik a brof towl rag “remova tus dhiwysyk gwiw dhyworth poblans gorveghys bys yn trevesigeth, teg hy heyndirwel, plegadow hy hin, feyth hy gweres; le may kyv lavur y wober gwiw”.
Thirdly we are optimistic and ambitious for Cornwall and are not put off from trying new things and taking on more responsibility if it helps us address the needs of Cornwall.	Tressa, optymystek hag ughelhwansek on a-barth Kernow, ha nyns on treylys yn digolenni dhyworth assaya taklow nowydh ha degemeres moy omgemeryans mara’gan gweres dhe dhyghtya edhommow Kernow.
‘a historic global agreement to eradicate extreme poverty, fight inequality and injustice and leave no one behind… The SDGs are universal, with all signatories expected to contribute to them internationally and deliver them domestically.	unnverheans ollvysel istorek dhe dhiwreydhya boghosogneth efan, batalyas dihevelepter hag anjustys ha na gasa a-dhelergh den vyth… An AowDS yw ollvysel, gans pub siner desevys dhe gevri dhedha yn keswlasek ha'ga delivra yn tre.
The impetus for this was the publication of the United Nations Sustainable Development Goals (SDGs) in 2015.	An herdhyans rag hemma o dyllans Amkanow Displegyans Sostenadow an Kenedhlow Unys (AowDS) yn 2015.
Forty Six	Hwegh ha dew-ugens
captain 	kapten
Cast	Gwarioryon
Single Drama (Over 30 Mins)	Drama Unnik (Moy ages 30 Mynysen)
1854 East Wheal Crofty splits into South Wheal Crofty and North Wheal Crofty.	1854 Hwel Krofti Est a fols yn Hwel Krofti Soth ha Hwel Krofti North.
Am I going on holiday this summer?	A vedhav vy ow tygolya an hav ma?
Town Centres, Design and Density	Kresyow Tre, Desin ha Tewder
You'll check it straight away.	Ty a wra y jeckya distowgh.
Dictionary of the moment	Gerlyver a'n pols ma
What’s On	Darvosow
You eat lunch at one o'clock.	Y hwrewgh hwi dybri li dhe unn eur.
I have got a flower.	Yma bleujen genev.
We’re celebrating John Couch Adams, who was born 200 years ago.	Yth eson ni ow solempnya Yowan Couch Adams a veu genys nans yw 200 bledhen.
They like eating mussels in Belgium. These mussels are small.	Da yw gansa dybri meskel yn Pow Belg. An vesklen ma yw byghan.
We hope you keep it up.	Ni a wayt ty dhe besya.
Please save the date, more details to follow.	Merkyewgh an dedhyas, mar pleg; pella kedhlow dhe sewya.
There is a widespread misconception that Cornwall Council could somehow evolve into a Cornish Parliament, without any wider political reforms.	Yma kammgonvedhes ledan may hallsa Konsel Kernow esplegya war neb kor yn Senedh a Gernow, heb dasfurvyansow politek ledanna vyth.
He is shy	Gohelus yw ev.
Sounds like torture to me. Have fun!	Henn a via euthyk dhe'm brys vy. Omlowenhewgh!
Yes. We will sell their house.	Gwren. Ni a wra gwertha aga chi.
Your heart is fierce	Gwyls yw dha golon
Norwegian	Norgaghek
Do we sing well?	A wren ni kana yn ta?
The sea chest you seek can be found in Bosuns hole	Y hyllir kavos an argh vor a hwilydh yn toll an Brennyas.
Good Lord deliver us.	Re’gan deliffro Duw.
To report incidents of anti-social behaviour visit the website where you can access the police's online contact methods – WebChat and Crime Reporting Form.	Rag derivas hwarvosow a fara gorthsocyal kewgh dhe'n wiasva le may hyllowgh hedhes methodys-kestava an kreslu warlinen – WebChat ha Form Derivas Drogober.
This avoided distorting the form.	Hemm a avoydya kamma an furv.
Hazel tree	Kollen
Will they sell her house?	A wrons i gwertha hy chi?
You are honest.	Onest os ta.
As Partnership Board members we all have roles and responsibilities to retain the World Heritage status of this important mining landscape and to be ambassadors for such an incredible wealth of heritage, both tangible and intangible. 	Eseli Kesva an Keskowethyans dell on, ni a’gan beus rannow hag omgemeryansow dhe witha savla Ertach an Bys a’n dirwedh valweyth a vri ma ha bos kanasow a-barth kemmys rychys digrysadow a ertach, keffrys tavadow hag antavadow.
We go to the station. We must go to the station.	Ni a wra mos dhe'n gorsav. Res yw dhyn mos dhe'n gorsav.
Roskear Ward	Ranndra Resker
We like to go to Spain.	Da yw genen mos dhe Spayn.  
I can eat here if you make the food.	My a yll dybri omma mar kwrav vy pareusi an boos.
Goodbye.	Farwell.
They like spiders. There is a spider in their bedroom called Kendal.	Da yw gansa kevnis. Yma kevnisen y'ga chambour henwys Kendal.
Are they running slowly?	Esons i ow ponya yn lent?
Crucially it also highlights shortfalls in current levels of protection, and as a consequence some critical messages for the future.	Yn troboyntel y hwolowboynt ynwedh fowtys yn nivelyow a dhifresyans a-lemmyn, hag, avel sewyans, messajys a bris rag an devedhek.
Further along Trenance Road look for the water wheel high up to your right.	Pella a-hys Fordh Trenans hwilewgh ros an dowr yn ughel dh'agas dyghow.
Sea Glass Picture Kit	Daffar Imach Gweder Mor
General provisions of this contract of employment	Proviansow ollgemmyn a’n kevambos arveth ma
Cornwall Councillor Saltash Essa	Konseler Kernow Essa
Mr Pendarves is on paternity leave until the end of the month.	Yma kummyas tasoleth dhe Vester Pendarves bys yn penn an mis.
What we present you with is a selection of the research that has been happening across the University of Exeter’s campuses in Truro and Penryn to share this information with the wider community in Cornwall and elsewhere; and provoke discussions.	An pyth a gomendyn dhywgh yw aray a’n hwithrans re hwarva dres kampusow Pennskol Karesk yn Truru ha Pennrynn rag kevrenna an kedhlow ma gans an gemeneth ledanna yn Kernow ha leow erel; ha sordya dadhlow.
They are team-players.	Gwarioryon para yns i.
When he launched his Government’s plans for a Scottish Parliament in 1997, the late Donald Dewar stated that the aim was for a “fair and just settlement for Scotland within the framework of the United Kingdom.”	Pan lonchas ev towlow y Wovernans rag Senedh a Alban yn 1997, Donald Dewar, tremenys, a leveris bos an amkan 'akord resnadow ha gwiryon rag Alban a-berth yn framweyth an Ruvaneth Unys.'
Do I drink coffee with milk?	A wrav vy eva koffi gans leth?
No. You are not a cook.	Nag os. Nyns os ta kog.
Other projects we are either leading or contributing to include the Happy to Translate scheme, which promotes equal access to services in the public and voluntary sectors for all those who might face a language barrier in Scotland; Translating the Deaf Self; Place and Memory in Europe; and Imaginaries of Home.	Yth eson ni ow ledya ha kevri dhe ragdresow erel, y'ga mysk an dowlen Lowen dhe Dreylya, hag a wra avonsya hedhas par dhe wonisyow y'n asrannow poblek ha bodhek rag tus hag a allsa enebi lett yeth yn Alban; Treylya an Honan Bodhar; Tyller ha Kov yn Europa; hag Anwirvosow a Dre.
I'm on ____ street in ____ city	Yth esov vy yn stret____ y'n cita ____
Businesses, statutory bodies and voluntary groups are all encouraged to contribute to the aims of the Strategy by using Cornish in their activities and bringing forward new projects of their own.	Kenerthys yw negysyow, korfow selys yn laghel ha bagasow bodhek dhe gevri dhe vedrow an Strateji dre dhevnydhya Kernewek y'ga aktivitys ha dre dhalleth ragdresow nowydh aga honan. 
We went to a bad school when we were children.	Ni a wrug mos dhe skol drog pan en ni flogh.
We are pleased to announce that the shortlisted creatives are:	Pes da on dhe dheklarya an praktisyoryon awenek dhe vos berrolys yw:
Lisa Mannall was CEO of Trenance Learning Academy Trust until she took up her new post.	Lisa Mannall o PSW a Drest Akademi Dyski Trenans kyns hi dhe omgemeres hy soodh nowydh.
You haven't got a black pen.	Nyns eus pluven dhu genes.
Time can change an awful lot, but never forget your roots.	Termyn a yll chanjya meur a draow, mes na ankevewgh nevra agas gwreydh.
